order,asn_description,count,name,industry
122," TELENOR-NEXTEL Telenor Norge AS, NO",17402,Nex-优视传媒,信息服务
123," TSF-IP-CORE Telia Finland Oyj, FI",17320,Telia Finland Oyj,公共通信
124," PROXIMUS-ISP-AS, BE",17198,PROXIMUS-ISP-AS,公共通信
125," SO-NET Sony Network Communications Inc., JP",17056,索尼网络通信有限公司,信息服务
126,"MISSDOMAIN, SE",17023,MISSDOMAIN,信息服务
127," BOUYGTEL-ISP, FR",16875,法国波奥泰尔电信网络服务提供商,信息服务
128,"ACCESSKENYA-KE ACCESSKENYA GROUP LTD is an ISP serving, KE",16478,ACCESSKENYA GROUP LTD,网络安全
129," EMIRATES-INTERNET Emirates Internet, AE",16444,阿联酋互联网,公共通信
130,"CMNET-V4SHANGHAI-AS-AP Shanghai Mobile Communications Co.,Ltd., CN",16344,上海移动通信有限公司,公共通信
131,"TTNET, TR",16331,TTNET,信息服务
132,"VODAFONE-IT-ASN, IT",15405,沃达丰,信息服务
133,"ASN-CXA-ALL-CCI-22773-RDC, US",15277,云计算数据中心,信息服务
134," XO-AS15, US",14899,XO-AS15,信息服务
135,"PETERSTAR-AS Saint-Petersburg, RU",14798,"PETERSTAR-AS Saint-Petersburg, RU",信息服务
136,"T-MOBILE AS for the Trans-European T-Mobile IP Transport backbone, NL",14698,T-Mobile,公共通信
137,"CMNET-AS-LIAONING China Mobile communications corporation, CN",14667,中国移动通信公司,公共通信
138," ATGS-MMD-AS, US",14633,ATGS-MMD-AS,民用制造业
139,"CMNET-V4SHANDONG-AS-AP Shandong Mobile Communication Company Limited, CN",14539,山东移动通信有限公司,公共通信
140," APOL-AS Asia Pacific On-line Service Inc., TW",14273,亚太在线服务有限公司,信息服务
141," GLOBALCONNECT-, NO",14266,全球连接,信息服务
142,"CMNET-HUNAN-AP China Mobile communications corporation, CN",14231,中国移动通信股份有限公司,信息服务
143,"DNA, FI",14198,DNA,生物科技
144," BAHNHOF, SE",13936,"BAHNHOF, SE",信息服务
145," VERSATEL, DE",13801,德国电话公司VERSATEL,信息服务
146,"TMOBILE-, CZ",13786,T-Mobile,信息服务
147,"LOGIXCOMM-AS, US",13777,LOGIXCOMM-AS,
148,"TCI, IR",13703,TCI,信息服务
149,"CMNET-V4HEBEI-AS-AP Hebei Mobile Communication Company Limited, CN",13631,河北移动通信有限公司,公共通信
150,"UNI2-AS, ES",13419,"联通二级AS, 西班牙",信息服务
151,"TIM SA, BR",13320,腾讯,信息服务
152,"MEDIACOM-ENTERPRISE-BUSINESS, US",13166,美达康企业商务,信息服务
153,"ASN-GAMMATELECOM, GB",12831,ASN-GAMMATELECOM,信息服务
154," INFOSPHERE NTT PC Communications, Inc., JP",12758,"NTT PC Communications, Inc.",信息服务
155," HURRICANE, US",12757,飓风,能源
156,"MOBINIL, EG",12670,埃及移动通信网络公司,电信
157,"MEGAPATH5-, US",12641,MEGAPATH5-,
158," TELKOMNET-AS-AP PT Telekomunikasi Indonesia, ID",12504,印度尼西亚电信公司,公共通信
159," TTNET, TR",12455,土耳其电信公司,通信
160," CTTNET China TieTong Telecommunications Corporation, CN",12263,中国铁通通信集团有限公司,公共通信
161," IIJ Internet Initiative Japan Inc., JP",12136,Internet Initiative Japan Inc.,信息服务
162,"OPTAGE OPTAGE Inc., JP",12134,OPTAGE,信息服务
163," LIBERTYGLOBAL Liberty Global formerly UPC Broadband Holding, aka AORTA, NL",12124,自由环球,公共通信
164,"ALGTEL-AS, DZ",11722,北汽集团,汽车
165," TTSSB-MY TM TECHNOLOGY SERVICES SDN. BHD., MY",11571,TTSSB-MY TM TECHNOLOGY SERVICES SDN. BHD.,信息服务
166,"COMUNICACION CELULAR S.A. COMCEL S.A., CO",11504,"COMUNICACION CELULAR S.A. COMCEL S.A., CO",公共通信
167,"UBBNET-AS-TW UNION BROADBAND NETWORK, TW",11278,联合宽带网络,信息服务
168,"ASMedi, MA",11265,亚斯梅迪,信息服务
169,"ECOTEL, DE",11118,迅达,网络安全
170,"AS20712 Andrews & Arnold Ltd, GB",11018,Andrews & Arnold Ltd,信息服务
171,"AIRTELBROADBAND-AS-AP Bharti Airtel Ltd., Telemedia Services, IN",10819,"Bharti Airtel Ltd., Telemedia Services",公共通信
172," MPX-AS Microplex PTY LTD, AU",10750,"MPX-AS Microplex PTY LTD, AU",信息服务
173,"IT-TWT-AS, IT",10745,云计算数据中心,IT
174," EDGE ta GCI Com, GB",10712,英特尔公司,半导体
175,"AMAZON-02, US",10671,亚马逊,云计算数据中心
176,"FASTLY, US",10565,FASTLY,云计算数据中心
177,"EQUINIX, NL",10488,EQUINIX,云计算数据中心
178,"WASUHZ Huashu media&Network Limited, CN",10346,华数传媒网络有限公司,信息服务
179,"CENTURYLINK-LEGACY-LIGHTCORE, US",10317,CENTURYLINK-LEGACY-LIGHTCORE,公共通信
180," BIGLOBE BIGLOBE Inc., JP",10242,BIGLOBE,信息服务
181,"OPALTELECOM-AS TalkTalk Communications Limited, GB",10227,TalkTalk Communications Limited,公共通信
182,"CMNET-HEILONGJIANG-CN HeiLongJiang Mobile Communication Company Limited, CN",10202,黑龙江移动通信有限公司,公共通信
183," TELEKOM-AS, RS",10127,德国电信,信息服务
184," ASN-S, FR",10100,ASN-S,网络安全
185,"CLOUDFLARENET, US",10097,腾讯云科技有限公司,云计算数据中心
186,"ETISALAT-MISR, EG",10057,埃特萨拉特-米塞尔,信息服务
187,"RELIANCEJIO-IN Reliance Jio Infocomm Limited, IN",10029,RELIANCE Jio Infocomm Limited,信息服务
188,"AS-COLOCROSSING, CA",9968,AS-COLOCROSSING,云计算数据中心
189,"PARTNER-AS, IL",9752,合作伙伴云计算数据中心,云计算数据中心
190,"Telefonica de Argentina, AR",9641,阿根廷电话公司,公共通信
191,"ZEN-AS Zen Internet - UK, GB",9628,Zen Internet,网络安全
192,"IPO-EU, SE",9553,欧盟IPO,证券
193," ONO-AS Cableuropa - ONO, ES",9544,ONO-AS Cableuropa - ONO,公共通信
194,"CHINA169-GZ China Unicom IP network China169 Guangdong province, CN",9539,中国联通全国IP网络广东省分公司,公共通信
195," OBSL-AS TalkTalk - Business division, GB",9347,OBSL-AS TalkTalk - Business division,信息服务
196,"FACEBOOK, US",9328,脸书,信息服务
197,"  DNIC-ASBLK-00306-00371, US",9307,DNIC-ASBLK-00306-00371,公共通信
198," PLUSNET UK Internet Service Provider, GB",9238,PLUSNET UK Internet Service Provider,信息服务
199,"AKAMAI-ASN1, NL",9148,Akamai Technologies,信息服务
200,"MTNNS-AS, ZA",9102,MTNNS-AS,信息服务
201," EPLDT-AS-AP 5F L.V. Locsin Bldg, PH",8900,EPLDT-AS-AP 5F L.V. Locsin Bldg,信息服务
202," BEZEQ-INTERNATIONAL-AS Bezeqint Internet Backbone, IL",8885,以色列贝泽克国际互联网骨干网络公司,公共通信
203," SINET-AS Research Organization of Information and Systems, National Institute of Informatics, JP",8799,日本国立信息学研究所信息与系统研究机构SINET-AS,科研院校
204,"VIRTUAL1, GB",8774,VIRTUAL1,公共通信
205,"IOMART-AS, GB",8667,IOMART-AS,云计算数据中心
206,"MCCI-AS, IR",8591,华为技术有限公司,通信
207,"SUDDENLINK-COMMUNICATIONS, US",8580,SUDDENLINK-COMMUNICATIONS,公共通信
208," JTCL-JP-AS JCOM Co., Ltd., JP",8550,"JCOM Co., Ltd.",信息服务
209," EWETEL Cloppenburger Strasse 310, DE",8542,德国电信,公共通信
210," ERX-CERNET-BKB China Education and Research Network Center, CN",8447,中国教育和研究网络中心,信息服务
211,"CABLEONE, US",8439,美国联通,网络通信
212," TELENET-AS, BE",8341,比利时TELENET电信公司,公共通信
213," CORBINA-AS OJSC Vimpelcom, RU",8302,俄罗斯天线战略公司,公共通信
214," AS-IRIDEOS, IT",8249,爱思培达,信息服务
215," AS5413, GB",8180,AS5413,网络安全
216,"ATLANTICBB-JOHNSTOWN, US",8122,大西洋宽带-约翰斯顿公司,公共通信
217,"DADA-AS-TW DaDa Broadband LTD., TW",8061,"DADA-AS-TW DaDa Broadband LTD., TW",信息服务
218,"BRESNAN-33588, US",7925,BRESNAN-33588,公共服务
219,"TOPWAY-NET ShenZhen Topway Video Communication Co. Ltd, CN",7887,深圳拓维视讯通信有限公司,信息服务
220," SOVAM-AS, RU",7885,SOVAM-AS,信息服务
221,"SAFARICOM-LIMITED, KE",7884,Safaricom Limited,电力
222," CELLCO-PART, US",7847,索尼手机有限公司,电子制造业
223," EIRCOM Internet House, IE",7731,爱尔康金属互联网之家,信息服务
224,"TBCOM-NET TBC, TW",7718,天辰数信网络科技有限公司,网络安全
225,"WII, US",7664,WII,信息服务
226,"DAIMLER-AS ITTTN Global Network, DE",7557,戴姆勒-AS ITTTN全球网络,汽车
227," UNITAS, US",7506,UNITAS,云计算数据中心
228,"VODAFONE_RO Charles de Gaulle nr.15, RO",7500,沃达丰,公共通信
229,"SIMPLYTRANSIT, GB",7465,坐享智行,交通
230,"TUNISIANA, TN",7425,突尼斯安,公共通信
231," MNET-AS Germany, DE",7371,MNET-AS Germany,信息服务
232,"CMNET-SHANXI-AP China Mobile communications corporation, CN",7322,中国移动通信公司,公共通信
233,"TOT-LLI-AS-AP TOT Public Company Limited, TH",7278,泰国TOT公共有限公司,公共通信
234,"TRGO, CA",7241,TRGO,公共服务
235," BT, GB",7137,英国电信公司,电力
236,"COGECO-PEER1, CA",7114,COGECO-PEER1,信息服务
237," TISCALI-UK TalkTalk Communications Limited, GB",7090,TalkTalk Communications Limited,公共通信
238,"Claro NXT Telecomunicacoes Ltda, BR",6902,Claro NXT Telecomunicacoes Ltda,信息服务
239," Vodafone, GB",6824,沃达丰,信息服务
240," TFN-TW Taiwan Fixed Network, Telco and Network Service Provider., TW",6810,台湾固定网络公司,网络通信服务提供商
241,"MASERGY, US",6789,MASERGY,信息服务
242," VECTANT ARTERIA Networks Corporation, JP",6677,维尔塔北通网络公司,信息服务
243," VIETEL-AS-AP Viettel Group, VN",6625,越南越通集团,通信
244,"TM, PL",6605,TM,团队协作软件
245," AS-IRIDEOS-KP, IT",6477,阿什亚-伊里迪奥斯-KP,信息服务
246," HBONE-AS KIFU, HU",6473,湖北省通信管理局,公共通信
247," RCS-RDS 73-75 Dr. Staicovici, RO",6393,RCS-RDS 73-75 Dr. Staicovici,信息服务
248," ASN-TELSTRA-GLOBAL Telstra Global, HK",6312,"ASN-TELSTRA-GLOBAL Telstra Global, HK",公共通信
249," UTA-AS, AT",6300,UTA-AS,云计算数据中心
250," TELENOR_DANMARK_AS, DK",6260,丹麦电信公司,通信
251,"EE Ltd, GB",6257,EE有限公司,信息服务
252," OTENET-GR Athens - Greece, GR",6229,OTENET-GR Athens - Greece,信息服务
253,"CHINATELECOM-TJ-AS-AP ASN for TIANJIN Provincial Net of CT, CN",6208,中国电信天津省网络,公共通信
254," OBIT-AS OBIT Ltd., RU",6176,OBIT有限公司,网络安全
255,"VELIANET-AS velia.net Internetdienste GmbH, DE",6170,velia.net Internetdienste GmbH,云计算数据中心
256," HOL-GR Athens, Greece, GR",6167,HOL-GR,信息服务
257," COLOMBIA TELECOMUNICACIONES S.A. ESP, CO",6160,哥伦比亚电信公司,公共通信
258,"ORANGE-, TN",6150,橙子科技,云计算数据中心
259,"CMNET-BEIJING-AP China Mobile Communicaitons Corporation, CN",6146,中国移动通信公司,公共通信
260,"FIBERNET-DIRECT, US",6138,光纤网络直通,信息服务
261,"MT-MPLS, MA",6126,MT-MPLS,公共通信
262," BTN-ASN, US",6118,BTN-ASN,网络安全
263," O2-CZECH-REPUBLIC, CZ",6106,捷克共和国O2,公共通信
264,"ASN-FLEXENTIAL, US",6052,ASN-FLEXENTIAL,云计算数据中心
265," SIFY-AS-IN Sify Limited, IN",6049,Sify Limited,信息服务
266," NOS_COMUNICACOES, PT",6016,NOS通信,信息服务
267,"TOKAI TOKAI Communications Corporation, JP",5979,东海通信集团有限公司,信息服务
268," CSLOXINFO-AS-AP CS LOXINFO PUBLIC COMPANY LIMITED, TH",5951,CS LOXINFO PUBLIC COMPANY LIMITED,信息服务
269,"NOCIX, US",5895,美国矽科技公司,云计算数据中心
270,"ALTIBOX_AS Norway, NO",5868,ALTIBOX_AS Norway,信息服务
271," DOCOMO NTT DOCOMO, INC., JP",5846,NTT DOCOMO,信息服务
272," AS-PTD, US",5844,"AS-PTD, US",航天
273,"EGIHOSTING, US",5842,美国EGIHOSTING公司,云计算数据中心
274," CHINATELECOM-CORE-WAN-CN2 China Telecom Next Generation Carrier Network, CN",5811,中国电信下一代承载网络,公共通信
275," INFOWEB FUJITSU LIMITED, JP",5791,富士通信息网有限公司,信息服务
276,"  JANET Jisc Services Limited, GB",5766,英国文化教育研发协会服务有限公司,信息服务
277,"AS-CMN, US",5737,"亚松-CMN, 美国",信息服务
278,"NGI-AS, IT",5716,NGI-AS,IT
279," SKTELECOM-NET-AS SK Telecom, KR",5679,韩国电信有限公司,电力
280,"TURKCELL-AS Turkcell A.S., TR",5614,TURKCELL-AS Turkcell A.S.,公共通信
281,"TZULO, US",5607,TZULO,云计算数据中心
282,"BORUSANTELEKOM-AS, TR",5602,"BORUSANTELEKOM-AS, TR",公共服务
283,"Telmex Colombia S.A., CO",5601,Telmex Colombia S.A.,电力
284," CANTV Servicios, Venezuela, VE",5563,委内瑞拉国家电信公司服务,电力
285,"PULSANT-AS, GB",5562,普赛特公司,云计算数据中心
286,"UNWIRED-NOC, US",5549
287," ODN SoftBank Corp., JP",5547,软银公司,信息服务
288,"CELLCO, US",5500,美国塞尔科,信息服务
289,"TOT-NET TOT Public Company Limited, TH",5496,TOT公共公司有限公司,信息服务
290,"QUANTCOM-AS Quantcom a.s., CZ",5477,QUANTCOM-AS Quantcom a.s.,信息服务
291,"VODAFONE-CZ-AS, CZ",5433,沃达丰,信息服务
292,"CTCX Chubu Telecommunications Company, Inc., JP",5415,CTCX中部电信公司,公共通信
293,"WOW-INTERNET, US",5261,沃网互联网公司,信息服务
294,"ITC ITC AS number, SA",5238,"ITC ITC AS number, SA",信息服务
295,"SPITFIRE, GB",5218,试比特,信息服务
296,"RAYA-AS, EG",5217,EG的中文名称,EG的所属行业
297," SK-TELEKOM Slovak Telekom  T-Mobile CZ, SK",5211,斯洛伐克电信,公共通信
298," INTERNODE-AS Internode Pty Ltd, AU",5208,Internode Pty Ltd,信息服务
299,"APOLLO-AS Latvia, LV",5137,阿波罗-拉脱维亚,信息服务
300," FUSE-NET, US",5114,FUSE-NET,云计算数据中心
301,"NEXTGENTEL NEXTGENTEL Autonomous System, NO",5066,"NEXTGENTEL NEXTGENTEL Autonomous System, NO",信息服务
302,"FPT-AS-AP FPT Telecom Company, VN",5066,"FPT Telecom Company, VN",信息服务
303," FORTHNET-GR Forthnet, EU",5053,FORTHNET-GR Forthnet,网络安全
304,"PROLEXIC-TECHNOLOGIES-DDOS-MITIGATION-NETWORK, US",5031,PROLEXIC-TECHNOLOGIES-DDOS-MITIGATION-NETWORK,网络安全
305," GD-EMEA-DC-SXB1, DE",4948,GD-EMEA-DC-SXB1,信息服务
306," T-HT Croatian Telecom Inc., HR",4946,克罗地亚电信股份有限公司,信息服务
307," SAVECOM-TW SaveCom Internation Inc., TW",4899,上海山微电子科技有限公司,半导体
308," QTNET QTnet,Inc., JP",4865,QTNET,信息服务
309,"LNH-INC, US",4851,LNH-INC,网络安全
310," ASAHI-NET Asahi Net, JP",4847,ASAHI-NET Asahi Net,信息服务
311,"AS17378, US",4835,美国能源,能源
312,"ASN-WELCOMEITALIA, IT",4828,逸盛诺-欢迎意大利,信息服务
313,"Tunisie-Telecom, TN",4815,突尼斯电信,公共通信
314,"LUMOS, US",4805,LUMOS,信息服务
315," AS-BENESTRA Bratislava, Slovak Republic, SK",4786,"AS-BENESTRA Bratislava, Slovak Republic, SK",信息服务
316,"  APPLE-ENGINEERING, US",4773,苹果工程公司,科研院校
317," EVINY-AS8542 Norway, NO",4693,EVINY,信息服务
318,"MPOWER-2, US",4669,美国动力-2,能源
319," HEANET, IE",4654,爱立信（中国）通信有限公司,公共通信
320,"CMNET-JILIN-AS-AP China Mobile Group JiLin communications corporation, CN",4621,中国移动集团吉林通信公司,公共通信
321,"ASN-TIM Service Provider, IT",4603,ASN-TIM Service Provider,IT
322," MEO-RESIDENCIAL, PT",4600,MEO-RESIDENCIAL,公共服务
323,"ASN-CLOUDITALIA, IT",4575,ASN-CLOUDITALIA,云计算数据中心
324," AS6453, US",4545,AS6453,公共通信
325,"GEOLINKS-AS, US",4463,通用电气网络服务公司,信息服务
326," M247, RO",4459,,
327,"AS-CHOOPA, US",4436,AS-CHOOPA,信息服务
328," COMCOR-AS Moscow, RU",4424,莫斯科通讯公司,信息服务
329,"MK-NETZDIENSTE-AS, DE",4406,MK-NETZDIENSTE-AS,信息服务
330,"NGCOM, NG",4383,NGCOM,信息服务
331," MEGAPATH2-, US",4321,美捷通,信息服务
332,"BGCTVNET BEIJING GEHUA CATV NETWORK CO.LTD, CN",4320,北京歌华有线电视网络有限公司,信息服务
333,"RISE-BROADBAND, US",4318,瑞斯宽带,信息服务
334,"SAUDINETSTC-AS, SA",4291,阿联酋电信公司,电力
335,"PKTELECOM-AS-PK Pakistan Telecommunication Company Limited, PK",4262,巴基斯坦电信公司有限公司,公共通信
336,"PLUSSERVER-ASN1, DE",4261,"PLUSSERVER-ASN1, DE",信息服务
337,"MASTERTEL-AS Moscow, Russia, RU",4258,莫斯科MASTERTEL公司,信息服务
338,"TMOBILE-THUIS, NL",4202,TMOBILE-THUIS,信息服务
339,"KSNET-AS, UA",4167,KSNET-AS,信息服务
340," VIVACOM-AS BULGARIA, BG",4165,VIVACOM-AS BULGARIA,公共通信
341,"PRIMORYE-AS PJSC Rostelecom ex RU.PRIMORYE, RU",4146,远东-AS俄罗斯电信股份公司依赖克姆企业在俄罗斯远东地区的运营,公共通信
342,"INVITECH, HU",4142,华银电力,电力
343," SUNRISE, CH",4139,日出,信息服务
344," TWC-7843-BB, US",4128,TWC-7843-BB,信息服务
345," TIMICO United Kingdom, GB",4108,TIMICO,网络安全
346," TISCALI-, IT",4076,TISCALI-,IT
347," PLUSNET Plus network operator in Poland, PL",4066,PLUSNET,信息服务
348,"IRANCELL-AS, IR",4064,伊朗电信,信息服务
349," AUREON-5056, US",4047,AUREON-5056,信息服务
350,"CT-HANGZHOU-IDC No.288,Fu-chun Road, CN",4039,杭州阿里巴巴云计算数据中心,云计算数据中心
351,"FBDC FreeBit Co.,Ltd., JP",4023,京东,电力
352,"FIRSTCOMM-AS2, US",3963,FIRSTCOMM-AS2,信息服务
353,"EUSKALTEL, ES",3936,EUSKALTEL,信息服务
354," Axtel, S.A.B. de C.V., MX",3916,"Axtel, S.A.B. de C.V.",信息服务
